movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Indivisible,26-10-2018,"Drama,War",119,David G. Evans,"director,writer,casting_department",\N,alive,5.8,1287,2.923627299,2700000,3511417,3589633
Donovan's Reef,12/6/1963,"Adventure,Comedy,Romance",109,John Ford,"director,producer,actor",1894,1973,6.7,9231,4.368992461,2686000,6600000,6600000
A Guy Named Joe,24-12-1943,"Drama,Fantasy,Romance",120,Victor Fleming,"director,cinematographer,producer",1889,1949,6.9,2671,3.873778701,2627000,5363000,5363000
Blazing Saddles,7/2/1974,"Comedy,Western",93,Mel Brooks,"actor,writer,soundtrack",1926,alive,7.7,142116,6.589688267,2600000,119500000,119500000
Maurice,1/1/1987,"Drama,Romance",140,James Ivory,"director,writer,producer",1928,alive,7.7,20779,5.500423968,2600000,3147950,3305831
Riding Giants,9/7/2004,"Documentary,History,Sport",105,Stacy Peralta,"director,producer,writer",1957,alive,7.8,4562,4.703455001,2600000,2276368,3292333
Singin' in the Rain,10/4/1952,"Comedy,Musical,Romance",103,-,-,-,-,8.3,245595,7.447505705,2540000,7200000,7241009
Bonnie and Clyde,13-08-1967,"Action,Biography,Crime",111,Arthur Penn,"director,producer,writer",1922,2010,7.7,114873,6.469121733,2500000,50700000,50700128
A Haunted House,11/1/2013,"Comedy,Fantasy,Horror",86,Michael Tiddes,"director,producer,miscellaneous",\N,alive,5,47679,3.831016484,2500000,40041683,59922558
Kevin Hart: Let Me Explain,3/7/2013,"Comedy,Documentary",75,-,-,-,-,6.6,9128,4.296367265,2500000,32244051,32327255
Garden State,28-07-2004,"Comedy,Drama,Romance",102,Zach Braff,"actor,producer,director",1975,alive,7.4,218287,6.56147345,2500000,26782316,36028802
That Thing You Do!,4/10/1996,"Comedy,Drama,Music",108,Tom Hanks,"producer,actor,soundtrack",1956,alive,6.9,70135,5.532822559,2500000,25857416,34557416
Halloween II,30-10-1981,Horror,92,Rick Rosenthal,"director,producer,actor",1949,alive,6.5,94358,5.346317838,2500000,25533818,25533818
Religulous,1/10/2008,"Comedy,Documentary,War",101,Larry Charles,"producer,writer,miscellaneous",1956,alive,7.6,59454,6.015111683,2500000,13011160,13881317
Escape from the Planet of the Apes,1/1/1971,"Action,Sci-Fi",98,Don Taylor,"director,actor,writer",1920,1998,6.3,36281,4.734723219,2500000,12300000,12300000
Hud,29-05-1963,"Drama,Western",112,Martin Ritt,"director,producer,actor",1914,1990,7.8,22473,5.618546527,2500000,10000000,10000000
The Spectacular Now,2/8/2013,"Drama,Romance",95,James Ponsoldt,"director,producer,writer",1978,alive,7.1,155857,6.114147195,2500000,6852971,6916951
My Own Private Idaho,29-09-1991,Drama,104,Gus Van Sant,"director,producer,writer",1952,alive,7,58002,5.51709268,2500000,6401336,6402775
Before Sunrise,27-01-1995,"Drama,Romance",101,Richard Linklater,"producer,director,writer",1960,alive,8.1,312901,7.409214028,2500000,5274005,5691852
Hunt for the Wilderpeople,1/4/2016,"Adventure,Comedy,Drama",101,Taika Waititi,"producer,writer,actor",1975,alive,7.8,132812,6.638123448,2500000,5205471,23900842
Robot & Frank,17-08-2012,"Comedy,Crime,Drama",89,Jake Schreier,"director,producer,actor",\N,alive,7,64647,5.572954533,2500000,3317468,4934356
Timbuktu,11/12/2014,"Drama,War",96,Abderrahmane Sissako,"director,writer,producer",1961,alive,7.1,17684,4.977295811,2500000,1076075,6815821
The Lost Medallion: The Adventures of Billy Stone,1/3/2013,"Adventure,Family,Fantasy",97,Bill Muir,"writer,producer,director",\N,alive,4.8,1805,2.516279859,2500000,549632,549632
My Life Without Me,26-09-2003,"Drama,Romance",106,Isabel Coixet,"director,writer,producer",1960,alive,7.4,25282,5.387780437,2500000,432360,12267275
Fuel,14-11-2008,Documentary,90,Joshua Tickell,"director,producer,casting_director",\N,alive,7.3,771,3.438632653,2500000,174255,174255
Fuel,14-11-2008,"Drama,Romance,War",87,Michael P. Nash,"producer,director,writer",\N,alive,8.6,60,2.458850601,2500000,174255,174255
8: The Mormon Proposition,18-06-2010,Documentary,80,-,-,-,-,7.1,1254,3.594901767,2500000,100280,100280
Underdogs,16-08-2013,"Adventure,Animation,Comedy",106,Juan José Campanella,"writer,director,actor",1959,alive,6.4,9861,4.198550779,2500000,35017,1392649
Underdogs,16-08-2013,"Drama,Family,Sport",102,Doug Dearth,"producer,actor,miscellaneous",\N,alive,5.8,1065,2.842829558,2500000,35017,1392649
Get on the Bus,16-10-1996,"Adventure,Drama,History",120,Spike Lee,"director,producer,writer",1957,alive,6.9,5807,4.268039465,2400000,5691854,5691854
Idiocracy,1/9/2006,"Adventure,Comedy,Sci-Fi",84,Mike Judge,"writer,producer,actor",1962,alive,6.5,166850,5.618913165,2400000,444093,500296
Bathing Beauty,27-06-1944,"Comedy,Musical",101,George Sidney,"director,producer,writer",1916,2002,6.4,1738,3.381171446,2361000,3500000,3500000
Do You Believe?,20-03-2015,Drama,120,Jon Gunn,"writer,director,producer",1973,alive,6,7911,3.830635748,2300000,12985600,14628921
Show Boat,17-07-1951,"Drama,Family,Musical",108,George Sidney,"director,producer,writer",1916,2002,6.9,5116,4.203722373,2300000,11000000,11000000
"Dancer, Texas Pop. 81",1/5/1998,"Comedy,Drama,Family",97,Tim McCanlies,"writer,director,producer",1953,alive,6.7,2539,3.73268997,2300000,574838,574838
A Mouthful of Air,29-10-2021,Drama,105,Amy Koppelman,"writer,director,producer",\N,alive,6,1894,3.199554238,2300000,269435,269435
Frontera,5/9/2014,"Drama,Thriller,Western",103,Michael Berry,"director,actor,writer",\N,alive,6.6,8139,4.240679501,2300000,59696,59696
The Toxic Avenger Part II,24-02-1989,"Action,Comedy,Horror",102,-,-,-,-,5,6803,3.11471606,2300000,28950,28950
Pinocchio,9/2/1940,"Adventure,Animation,Comedy",88,-,-,-,-,7.5,150261,6.445856043,2289247,84300000,84300000
Fantasia,13-11-1940,"Animation,Family,Fantasy",124,-,-,-,-,7.7,98329,6.381021961,2280000,83320000,83320832
The French Connection,9/10/1971,"Action,Crime,Drama",104,William Friedkin,"director,writer,producer",1935,alive,7.7,125144,6.517638025,2200000,41158757,41159421
The Last Sin Eater,9/2/2007,Drama,117,Michael Landon Jr.,"producer,director,writer",1964,alive,5.6,1931,2.985433395,2200000,388390,388390
The Valley of Decision,3/5/1945,Drama,119,Tay Garnett,"director,writer,actor",1894,1977,7.3,2139,3.986690533,2160000,9132000,9132000
The Best Years of Our Lives,21-11-1946,"Drama,Romance,War",170,William Wyler,"director,producer,actor",1902,1981,8.1,65837,6.480290949,2100000,23600000,23600000
